player,history,card,action,strat
1," 3 2 ",0,1,7.03738e-07
1," 3 2 ",1,0,0.202448
1," 3 2 ",1,1,0.797552
1," 3 2 ",2,0,0.177502
1," 3 2 ",2,1,0.822498
1," 3 2 ",3,0,0.0642876
1," 3 2 ",3,1,0.935712
1," 3 2 ",4,0,0.0303655
1," 3 2 ",4,1,0.969635
1," 3 2 ",5,0,0.065647
1," 3 2 ",5,1,0.934353
1," 3 2 ",6,0,0.911358
1," 3 2 ",6,1,0.0886415
1," 3 2 ",7,0,0.00402836
1," 3 2 ",7,1,0.995972
1," 3 2 ",8,0,0.0512849
1," 3 2 ",8,1,0.948715
1," 3 2 ",9,0,0.042092
1," 3 2 ",9,1,0.957908
